datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
6/16/2025 4:00:00 AM,6/16/2025 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,19.28,14.370000,-4.390000,-0.520000,True,1
6/16/2025 5:00:00 AM,6/16/2025 1:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,20.48,14.690000,-5.150000,-0.640000,True,1
6/16/2025 6:00:00 AM,6/16/2025 2:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,16.66,13.020000,-3.100000,-0.540000,True,1
6/16/2025 7:00:00 AM,6/16/2025 3:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,15.54,12.540000,-2.570000,-0.430000,True,1
6/16/2025 8:00:00 AM,6/16/2025 4:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,17.29,13.170000,-3.550000,-0.570000,True,1
6/16/2025 9:00:00 AM,6/16/2025 5:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,21.33,16.370000,-4.230000,-0.730000,True,1
6/16/2025 10:00:00 AM,6/16/2025 6:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,24.33,19.420000,-4.220000,-0.690000,True,1
6/16/2025 11:00:00 AM,6/16/2025 7:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,28.52,23.080000,-4.760000,-0.680000,True,1
6/16/2025 12:00:00 PM,6/16/2025 8:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,32.96,27.130000,-5.150000,-0.680000,True,1
6/16/2025 1:00:00 PM,6/16/2025 9:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,33.57,29.470000,-3.440000,-0.660000,True,1
6/16/2025 2:00:00 PM,6/16/2025 10:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,35.88,30.120000,-5.190000,-0.570000,True,1
6/16/2025 3:00:00 PM,6/16/2025 11:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,39.72,29.430000,-9.600000,-0.690000,True,1
6/16/2025 4:00:00 PM,6/16/2025 12:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,47.12,33.650000,-12.600000,-0.870000,True,1
6/16/2025 5:00:00 PM,6/16/2025 1:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,47.36,29.250000,-17.110000,-1.000000,True,1
6/16/2025 6:00:00 PM,6/16/2025 2:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,50.95,26.540000,-23.180000,-1.230000,True,1
6/16/2025 7:00:00 PM,6/16/2025 3:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,52.06,27.260000,-23.780000,-1.020000,True,1
6/16/2025 8:00:00 PM,6/16/2025 4:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,58.12,28.400000,-28.750000,-0.970000,True,1
6/16/2025 9:00:00 PM,6/16/2025 5:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,62.86,31.360000,-30.570000,-0.930000,True,1
6/16/2025 10:00:00 PM,6/16/2025 6:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,61.13,30.570000,-29.260000,-1.300000,True,1
6/16/2025 11:00:00 PM,6/16/2025 7:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,62.45,32.390000,-28.780000,-1.280000,True,1
6/17/2025 12:00:00 AM,6/16/2025 8:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,61.04,36.630000,-22.840000,-1.570000,True,1
6/17/2025 1:00:00 AM,6/16/2025 9:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,54.28,37.880000,-15.120000,-1.280000,True,1
6/17/2025 2:00:00 AM,6/16/2025 10:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,44.68,28.920000,-14.600000,-1.160000,True,1
6/17/2025 3:00:00 AM,6/16/2025 11:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,32.01,25.650000,-5.660000,-0.700000,True,1
6/17/2025 4:00:00 AM,6/17/2025 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,21.94,17.990000,-3.430000,-0.520000,True,1
