datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
5/31/2025 4:00:00 AM,5/31/2025 12:00:00 AM,RFC,MIDATL,AE,AECO,904.965,False
5/31/2025 5:00:00 AM,5/31/2025 1:00:00 AM,RFC,MIDATL,AE,AECO,847.392,False
5/31/2025 6:00:00 AM,5/31/2025 2:00:00 AM,RFC,MIDATL,AE,AECO,804.196,False
5/31/2025 7:00:00 AM,5/31/2025 3:00:00 AM,RFC,MIDATL,AE,AECO,771.607,False
5/31/2025 8:00:00 AM,5/31/2025 4:00:00 AM,RFC,MIDATL,AE,AECO,763.462,False
5/31/2025 9:00:00 AM,5/31/2025 5:00:00 AM,RFC,MIDATL,AE,AECO,769.058,False
5/31/2025 10:00:00 AM,5/31/2025 6:00:00 AM,RFC,MIDATL,AE,AECO,760.820,False
5/31/2025 11:00:00 AM,5/31/2025 7:00:00 AM,RFC,MIDATL,AE,AECO,749.892,False
5/31/2025 12:00:00 PM,5/31/2025 8:00:00 AM,RFC,MIDATL,AE,AECO,732.816,False
5/31/2025 1:00:00 PM,5/31/2025 9:00:00 AM,RFC,MIDATL,AE,AECO,752.852,False
5/31/2025 2:00:00 PM,5/31/2025 10:00:00 AM,RFC,MIDATL,AE,AECO,760.050,False
5/31/2025 3:00:00 PM,5/31/2025 11:00:00 AM,RFC,MIDATL,AE,AECO,712.609,False
5/31/2025 4:00:00 PM,5/31/2025 12:00:00 PM,RFC,MIDATL,AE,AECO,671.220,False
5/31/2025 5:00:00 PM,5/31/2025 1:00:00 PM,RFC,MIDATL,AE,AECO,728.048,False
5/31/2025 6:00:00 PM,5/31/2025 2:00:00 PM,RFC,MIDATL,AE,AECO,718.415,False
5/31/2025 7:00:00 PM,5/31/2025 3:00:00 PM,RFC,MIDATL,AE,AECO,876.007,False
5/31/2025 8:00:00 PM,5/31/2025 4:00:00 PM,RFC,MIDATL,AE,AECO,956.713,False
5/31/2025 9:00:00 PM,5/31/2025 5:00:00 PM,RFC,MIDATL,AE,AECO,923.293,False
5/31/2025 10:00:00 PM,5/31/2025 6:00:00 PM,RFC,MIDATL,AE,AECO,940.735,False
5/31/2025 11:00:00 PM,5/31/2025 7:00:00 PM,RFC,MIDATL,AE,AECO,968.154,False
6/1/2025 12:00:00 AM,5/31/2025 8:00:00 PM,RFC,MIDATL,AE,AECO,986.726,False
6/1/2025 1:00:00 AM,5/31/2025 9:00:00 PM,RFC,MIDATL,AE,AECO,979.440,False
6/1/2025 2:00:00 AM,5/31/2025 10:00:00 PM,RFC,MIDATL,AE,AECO,925.506,False
6/1/2025 3:00:00 AM,5/31/2025 11:00:00 PM,RFC,MIDATL,AE,AECO,860.874,False
6/1/2025 4:00:00 AM,6/1/2025 12:00:00 AM,RFC,MIDATL,AE,AECO,799.637,True
6/1/2025 5:00:00 AM,6/1/2025 1:00:00 AM,RFC,MIDATL,AE,AECO,761.950,True
6/1/2025 6:00:00 AM,6/1/2025 2:00:00 AM,RFC,MIDATL,AE,AECO,730.546,True
6/1/2025 7:00:00 AM,6/1/2025 3:00:00 AM,RFC,MIDATL,AE,AECO,721.350,True
6/1/2025 8:00:00 AM,6/1/2025 4:00:00 AM,RFC,MIDATL,AE,AECO,719.591,True
6/1/2025 9:00:00 AM,6/1/2025 5:00:00 AM,RFC,MIDATL,AE,AECO,722.359,True
6/1/2025 10:00:00 AM,6/1/2025 6:00:00 AM,RFC,MIDATL,AE,AECO,709.074,True
6/1/2025 11:00:00 AM,6/1/2025 7:00:00 AM,RFC,MIDATL,AE,AECO,678.960,True
6/1/2025 12:00:00 PM,6/1/2025 8:00:00 AM,RFC,MIDATL,AE,AECO,631.986,True
6/1/2025 1:00:00 PM,6/1/2025 9:00:00 AM,RFC,MIDATL,AE,AECO,591.368,True
6/1/2025 2:00:00 PM,6/1/2025 10:00:00 AM,RFC,MIDATL,AE,AECO,561.583,True
6/1/2025 3:00:00 PM,6/1/2025 11:00:00 AM,RFC,MIDATL,AE,AECO,529.749,True
6/1/2025 4:00:00 PM,6/1/2025 12:00:00 PM,RFC,MIDATL,AE,AECO,516.095,True
6/1/2025 5:00:00 PM,6/1/2025 1:00:00 PM,RFC,MIDATL,AE,AECO,535.518,True
6/1/2025 6:00:00 PM,6/1/2025 2:00:00 PM,RFC,MIDATL,AE,AECO,572.726,True
