interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,demand
2026-06-02T00:00:00-05:00,2026-06-02 05:00:00+00:00,2026-06-02T00:15:00-05:00,2026-06-02 05:15:00+00:00,61222.4727
2026-06-02T00:15:00-05:00,2026-06-02 05:15:00+00:00,2026-06-02T00:30:00-05:00,2026-06-02 05:30:00+00:00,60178.2266
2026-06-02T00:30:00-05:00,2026-06-02 05:30:00+00:00,2026-06-02T00:45:00-05:00,2026-06-02 05:45:00+00:00,59330.1992
2026-06-02T00:45:00-05:00,2026-06-02 05:45:00+00:00,2026-06-02T01:00:00-05:00,2026-06-02 06:00:00+00:00,58618.4779
2026-06-02T01:00:00-05:00,2026-06-02 06:00:00+00:00,2026-06-02T01:15:00-05:00,2026-06-02 06:15:00+00:00,58002.431
2026-06-02T01:15:00-05:00,2026-06-02 06:15:00+00:00,2026-06-02T01:30:00-05:00,2026-06-02 06:30:00+00:00,57209.3932
2026-06-02T01:30:00-05:00,2026-06-02 06:30:00+00:00,2026-06-02T01:45:00-05:00,2026-06-02 06:45:00+00:00,56488.7956
2026-06-02T01:45:00-05:00,2026-06-02 06:45:00+00:00,2026-06-02T02:00:00-05:00,2026-06-02 07:00:00+00:00,56025.3815
2026-06-02T02:00:00-05:00,2026-06-02 07:00:00+00:00,2026-06-02T02:15:00-05:00,2026-06-02 07:15:00+00:00,55439.0078
2026-06-02T02:15:00-05:00,2026-06-02 07:15:00+00:00,2026-06-02T02:30:00-05:00,2026-06-02 07:30:00+00:00,54917.1159
2026-06-02T02:30:00-05:00,2026-06-02 07:30:00+00:00,2026-06-02T02:45:00-05:00,2026-06-02 07:45:00+00:00,54307.1029
2026-06-02T02:45:00-05:00,2026-06-02 07:45:00+00:00,2026-06-02T03:00:00-05:00,2026-06-02 08:00:00+00:00,54165.0482
2026-06-02T03:00:00-05:00,2026-06-02 08:00:00+00:00,2026-06-02T03:15:00-05:00,2026-06-02 08:15:00+00:00,53888.5247
2026-06-02T03:15:00-05:00,2026-06-02 08:15:00+00:00,2026-06-02T03:30:00-05:00,2026-06-02 08:30:00+00:00,53413.2565
2026-06-02T03:30:00-05:00,2026-06-02 08:30:00+00:00,2026-06-02T03:45:00-05:00,2026-06-02 08:45:00+00:00,53268.8529
2026-06-02T03:45:00-05:00,2026-06-02 08:45:00+00:00,2026-06-02T04:00:00-05:00,2026-06-02 09:00:00+00:00,53013.0339
2026-06-02T04:00:00-05:00,2026-06-02 09:00:00+00:00,2026-06-02T04:15:00-05:00,2026-06-02 09:15:00+00:00,53036.9609
2026-06-02T04:15:00-05:00,2026-06-02 09:15:00+00:00,2026-06-02T04:30:00-05:00,2026-06-02 09:30:00+00:00,52791.4974
2026-06-02T04:30:00-05:00,2026-06-02 09:30:00+00:00,2026-06-02T04:45:00-05:00,2026-06-02 09:45:00+00:00,52852.2109
2026-06-02T04:45:00-05:00,2026-06-02 09:45:00+00:00,2026-06-02T05:00:00-05:00,2026-06-02 10:00:00+00:00,52995.332
2026-06-02T05:00:00-05:00,2026-06-02 10:00:00+00:00,2026-06-02T05:15:00-05:00,2026-06-02 10:15:00+00:00,53340.7057
2026-06-02T05:15:00-05:00,2026-06-02 10:15:00+00:00,2026-06-02T05:30:00-05:00,2026-06-02 10:30:00+00:00,53516.2005
2026-06-02T05:30:00-05:00,2026-06-02 10:30:00+00:00,2026-06-02T05:45:00-05:00,2026-06-02 10:45:00+00:00,53704.7786
2026-06-02T05:45:00-05:00,2026-06-02 10:45:00+00:00,2026-06-02T06:00:00-05:00,2026-06-02 11:00:00+00:00,53819.1719
2026-06-02T06:00:00-05:00,2026-06-02 11:00:00+00:00,2026-06-02T06:15:00-05:00,2026-06-02 11:15:00+00:00,54281.263
2026-06-02T06:15:00-05:00,2026-06-02 11:15:00+00:00,2026-06-02T06:30:00-05:00,2026-06-02 11:30:00+00:00,54610.1628
2026-06-02T06:30:00-05:00,2026-06-02 11:30:00+00:00,2026-06-02T06:45:00-05:00,2026-06-02 11:45:00+00:00,54743.4557
2026-06-02T06:45:00-05:00,2026-06-02 11:45:00+00:00,2026-06-02T07:00:00-05:00,2026-06-02 12:00:00+00:00,54875.0313
2026-06-02T07:00:00-05:00,2026-06-02 12:00:00+00:00,2026-06-02T07:15:00-05:00,2026-06-02 12:15:00+00:00,55353.3164
2026-06-02T07:15:00-05:00,2026-06-02 12:15:00+00:00,2026-06-02T07:30:00-05:00,2026-06-02 12:30:00+00:00,55903.125
2026-06-02T07:30:00-05:00,2026-06-02 12:30:00+00:00,2026-06-02T07:45:00-05:00,2026-06-02 12:45:00+00:00,56577.8112
2026-06-02T07:45:00-05:00,2026-06-02 12:45:00+00:00,2026-06-02T08:00:00-05:00,2026-06-02 13:00:00+00:00,57357.8737
