datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
6/15/2025 4:00:00 AM,6/15/2025 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,18.320000,5.890000,-12.360000,-0.080000,True,1
6/15/2025 5:00:00 AM,6/15/2025 1:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,18.710000,4.700000,-13.920000,-0.090000,True,1
6/15/2025 6:00:00 AM,6/15/2025 2:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,17.320000,5.670000,-11.540000,-0.110000,True,1
6/15/2025 7:00:00 AM,6/15/2025 3:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,15.280000,8.230000,-6.960000,-0.100000,True,1
6/15/2025 8:00:00 AM,6/15/2025 4:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,14.850000,11.600000,-3.130000,-0.130000,True,1
6/15/2025 9:00:00 AM,6/15/2025 5:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,15.090000,8.850000,-6.080000,-0.170000,True,1
6/15/2025 10:00:00 AM,6/15/2025 6:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,14.260000,6.090000,-8.060000,-0.120000,True,1
6/15/2025 11:00:00 AM,6/15/2025 7:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,14.910000,9.960000,-4.890000,-0.060000,True,1
6/15/2025 12:00:00 PM,6/15/2025 8:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,22.270000,8.340000,-13.780000,-0.160000,True,1
6/15/2025 1:00:00 PM,6/15/2025 9:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,19.970000,12.080000,-7.810000,-0.070000,True,1
6/15/2025 2:00:00 PM,6/15/2025 10:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,18.950000,16.340000,-2.620000,0.020000,True,1
6/15/2025 3:00:00 PM,6/15/2025 11:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,22.800000,20.800000,-1.950000,-0.050000,True,1
6/15/2025 4:00:00 PM,6/15/2025 12:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,22.900000,18.440000,-4.300000,-0.160000,True,1
6/15/2025 5:00:00 PM,6/15/2025 1:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,29.030000,28.420000,-0.320000,-0.290000,True,1
6/15/2025 6:00:00 PM,6/15/2025 2:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,52.720000,39.350000,-12.720000,-0.650000,True,1
6/15/2025 7:00:00 PM,6/15/2025 3:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,69.360000,28.370000,-39.770000,-1.220000,True,1
6/15/2025 8:00:00 PM,6/15/2025 4:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,25.910000,20.840000,-4.640000,-0.430000,True,1
6/15/2025 9:00:00 PM,6/15/2025 5:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,39.510000,38.150000,-0.800000,-0.560000,True,1
6/15/2025 10:00:00 PM,6/15/2025 6:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,37.340000,37.030000,0.160000,-0.460000,True,1
6/15/2025 11:00:00 PM,6/15/2025 7:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,33.950000,33.950000,0.360000,-0.360000,True,1
6/16/2025 12:00:00 AM,6/15/2025 8:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,32.350000,32.520000,0.430000,-0.260000,True,1
6/16/2025 1:00:00 AM,6/15/2025 9:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,32.630000,32.530000,0.210000,-0.310000,True,1
6/16/2025 2:00:00 AM,6/15/2025 10:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,33.210000,33.330000,0.410000,-0.290000,True,1
6/16/2025 3:00:00 AM,6/15/2025 11:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,20.100000,20.300000,0.300000,-0.100000,True,1
6/16/2025 4:00:00 AM,6/16/2025 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,14.960000,13.950000,-0.880000,-0.130000,True,1
6/16/2025 5:00:00 AM,6/16/2025 1:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,16.850000,12.550000,-4.020000,-0.290000,True,1
6/16/2025 6:00:00 AM,6/16/2025 2:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,15.100000,10.560000,-4.250000,-0.300000,True,1
6/16/2025 7:00:00 AM,6/16/2025 3:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,14.230000,11.240000,-2.750000,-0.250000,True,1
6/16/2025 8:00:00 AM,6/16/2025 4:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,14.590000,10.710000,-3.650000,-0.230000,True,1
6/16/2025 9:00:00 AM,6/16/2025 5:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,19.400000,15.910000,-3.320000,-0.160000,True,1
6/16/2025 10:00:00 AM,6/16/2025 6:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,17.500000,17.810000,0.230000,0.080000,True,1
6/16/2025 11:00:00 AM,6/16/2025 7:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,22.400000,22.960000,0.430000,0.130000,True,1
6/16/2025 12:00:00 PM,6/16/2025 8:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,27.850000,27.410000,-0.450000,0.010000,True,1
6/16/2025 1:00:00 PM,6/16/2025 9:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,27.770000,27.630000,-0.010000,-0.140000,True,1
6/16/2025 2:00:00 PM,6/16/2025 10:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,28.160000,27.980000,-0.020000,-0.170000,True,1
6/16/2025 3:00:00 PM,6/16/2025 11:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,39.670000,31.620000,-7.640000,-0.410000,True,1
6/16/2025 4:00:00 PM,6/16/2025 12:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,27.400000,25.280000,-1.760000,-0.350000,True,1
6/16/2025 5:00:00 PM,6/16/2025 1:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,42.040000,35.700000,-5.770000,-0.570000,True,1
6/16/2025 6:00:00 PM,6/16/2025 2:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,33.690000,28.960000,-4.130000,-0.600000,True,1
6/16/2025 7:00:00 PM,6/16/2025 3:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,41.030000,38.500000,-1.690000,-0.840000,True,1
6/16/2025 8:00:00 PM,6/16/2025 4:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,40.350000,39.310000,-0.230000,-0.820000,True,1
6/16/2025 9:00:00 PM,6/16/2025 5:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,51.100000,41.540000,-8.280000,-1.280000,True,1
6/16/2025 10:00:00 PM,6/16/2025 6:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,45.080000,43.960000,-0.110000,-1.000000,True,1
6/16/2025 11:00:00 PM,6/16/2025 7:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,44.330000,32.500000,-10.790000,-1.040000,True,1
6/17/2025 12:00:00 AM,6/16/2025 8:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,51.840000,27.310000,-23.120000,-1.410000,True,1
6/17/2025 1:00:00 AM,6/16/2025 9:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,38.750000,23.450000,-14.130000,-1.180000,True,1
6/17/2025 2:00:00 AM,6/16/2025 10:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,47.650000,21.920000,-24.220000,-1.520000,True,1
6/17/2025 3:00:00 AM,6/16/2025 11:00:00 PM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,29.350000,26.720000,-1.910000,-0.720000,True,1
6/17/2025 4:00:00 AM,6/17/2025 12:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,22.860000,22.360000,0.000000,-0.500000,True,1
6/17/2025 5:00:00 AM,6/17/2025 1:00:00 AM,48592,ALDENE,230 KV,T-10,LOAD,PSEG,20.180000,17.960000,-1.750000,-0.460000,True,1
